SgnMonth	DCEF	RIPO	NIPO	NA	TURN	CCI	ISI
2010-08	-.1500	.7496	31	38.11	.1927	107.80	56.51
2010-09	-.1715	.5021	29	34.01	.2604	107.30	53.23
2010-10	-.1333	.2877	21	39.26	.2679	104.10	53.96
2010-11	-.1368	.4948	29	66.66	.4172	103.80	73.41
2010-12	-.1226	.3754	37	43.68	.3615	102.90	60.24
2011-01	-.1072	.0547	31	26.35	.1975	100.40	46.98
2011-02	-.0632	.1902	28	32.34	.1560	99.90	50.08
2011-03	-.0860	.1509	31	61.10	.2193	99.60	69.10
2011-04	-.0793	.0164	24	31.62	.2343	107.60	50.43
2011-05	-.0679	.0638	26	28.66	.2025	106.60	48.77
2011-06	-.0571	.1480	28	31.13	.1392	105.80	50.63
2011-07	-.0814	.7579	20	26.51	.1306	108.10	46.65
2011-08	-.0930	.4846	25	30.68	.1747	105.60	49.77
2011-09	-.0895	.1276	21	26.14	.1428	105.00	45.64
2011-10	-.0847	.3309	10	17.43	.1005	103.40	37.28
2011-11	-.0983	.3551	20	24.97	.1247	100.50	43.73
2011-12	-.1011	.0656	18	22.91	.1421	97.00	41.03
2012-01	-.1297	.0180	10	10.45	.0919	100.50	31.98
2012-02	-.1170	.4648	13	26.83	.1134	103.90	44.15
2012-03	-.1266	.2428	27	32.29	.1548	105.00	50.99
2012-04	-.1188	.1289	14	10.90	.1686	100.00	33.16
2012-05	-.1153	.2799	19	14.50	.1523	103.00	37.35
2012-06	-.1188	.0568	22	15.83	.1496	104.20	39.05
2012-07	-.1140	.1758	18	12.06	.1161	99.30	34.65
2012-08	-.0981	.3597	15	13.59	.1159	98.20	34.79
2012-09	-.0940	.2274	12	13.60	.1105	99.40	34.32
2012-10	-.0996	.6109	4	9.19	.1227	100.80	30.19
2012-11	-.1034	6.2674	1	11.78	.1063	106.10	34.98
2012-12	-.0992	.0000	0	14.36	.0852	105.10	33.27
2013-01	-.1099	.0000	0	15.22	.1533	103.70	33.53
2013-02	-.1121	.0000	0	12.65	.1985	104.50	32.09
2013-03	-.1099	.0000	0	24.09	.1800	108.20	40.25
2013-04	-.1238	.0000	0	9.97	.1686	102.60	29.92
2013-05	-.1118	.0000	0	14.11	.1349	103.70	32.81
2013-06	-.1042	.0000	0	12.27	.1873	99.00	30.58
2013-07	-.1140	.0000	0	12.23	.1603	97.00	30.08
2013-08	-.1207	.0000	0	11.72	.1815	97.20	29.81
2013-09	-.0903	-.0521	1	13.13	.1957	97.80	31.07
2013-10	-.1112	.0000	0	12.25	.2241	99.80	30.77
2013-11	-.0932	.0000	0	13.41	.2158	102.90	32.23
2013-12	-.1139	.6058	1	13.27	.1677	98.90	31.70
2014-01	-.1018	.4294	43	11.12	.1556	102.30	40.55
2014-02	-.0954	.4111	5	17.00	.1530	101.10	35.40
2014-03	-.0816	.0000	0	21.69	.2485	103.10	37.59
2015-09	-.1732	.0000	0	36.11	.5143	104.00	47.13
2015-10	-.1021	.0000	0	35.56	.3384	105.60	47.08
2014-04	-.0728	.0000	0	11.28	.1820	107.90	32.00
2014-05	-.0868	.0000	0	9.58	.1519	104.80	30.18
2014-06	-.0897	.4401	4	14.98	.1255	102.30	34.16
2014-07	-.0915	.4399	9	17.66	.1446	104.70	37.57
2014-08	-.0833	.4402	9	21.46	.1992	104.40	39.96
2014-09	-.1105	.4399	11	29.18	.2387	103.80	45.23
2014-10	-.0974	.4400	15	27.53	.2855	105.40	45.48
2014-11	-.1209	.4400	8	36.12	.2738	103.40	48.91
2014-12	-.1177	.4400	21	99.38	.3154	105.50	92.86
2015-01	-.0848	.5533	23	65.81	.4851	105.80	72.04
2015-02	-.1161	.4401	21	37.29	.3617	105.70	53.19
2015-03	-.0994	.4399	27	162.30	.2814	109.80	135.46
2015-04	-.1039	.4400	30	165.84	.4755	107.10	137.89
2015-05	-.1258	.4400	44	138.62	.6133	107.60	123.83
2015-06	-.1841	.4400	43	154.74	.5996	109.90	134.41
2015-07	-.1483	.4400	5	68.29	.6786	105.50	69.51
2015-08	-.1612	.0000	0	45.62	.5474	104.50	53.35
2015-11	-.1194	2.4248	1	49.07	.4870	103.80	56.73
2015-12	-.1075	.4777	29	47.24	.5275	104.10	61.12
2016-01	-.0936	.4400	1	45.03	.3681	103.70	53.15
2016-02	-.0592	.4401	7	38.49	.2814	104.00	50.37
2016-03	-.0580	.4400	16	76.40	.2971	104.40	76.78
2003-01	-.1034	.9050	5	3.97	.1054	97.50	26.44
2003-02	-.1117	.7691	3	2.85	.1928	97.70	25.30
2003-03	-.0941	.6831	6	3.26	.1328	97.80	26.20
2003-04	-.1399	1.1853	5	5.69	.1218	97.60	27.69
2003-05	-.1892	1.0623	2	4.21	.3197	88.70	24.05
2003-06	-.1962	.8507	7	5.35	.2558	85.70	25.10
2003-07	-.1436	.4559	9	3.87	.1444	88.60	25.04
2003-08	-.1794	.5829	9	3.06	.1263	91.20	25.16
2003-09	-.1901	.8065	7	3.02	.0914	92.70	25.10
2003-10	-.2015	.7209	5	2.51	.0983	93.10	24.38
2003-11	-.2215	.5567	4	3.95	.1193	94.20	25.25
2003-12	-.2168	.4989	5	5.69	.1848	94.50	26.67
2004-01	-.2092	.5847	4	3.90	.2355	95.30	25.55
2004-02	-.2476	1.7220	3	12.00	.3299	95.40	31.09
2004-03	-.2604	1.0574	10	9.27	.3984	95.20	30.61
2004-04	-.2402	.8770	12	7.31	.2628	95.40	29.71
2004-05	-.2444	.4443	10	3.60	.2582	95.00	26.58
2004-06	-.2256	.8468	22	4.46	.1303	92.60	29.44
2004-07	-.2582	.6252	21	3.20	.1457	90.10	27.72
2004-08	-.2846	.3435	13	3.15	.1495	91.10	25.97
2005-01	-.2796	.0000	0	2.30	.1221	93.20	22.78
2005-02	-.3003	.7897	1	2.35	.1252	93.50	23.47
2005-03	-.3133	.6445	2	4.86	.2143	93.90	25.37
2005-04	-.2806	.7533	3	3.54	.1811	94.40	24.91
2005-05	-.3050	.2819	6	2.69	.2096	94.70	24.90
2005-06	-.3043	.2462	3	4.54	.1344	94.30	25.26
2005-07	-.3321	.0000	0	2.52	.2290	94.60	23.28
2005-08	-.3031	.0000	0	4.70	.1708	94.40	24.61
2005-09	-.3024	.0000	0	5.83	.3222	94.50	25.44
2005-10	-.3119	.0000	0	2.33	.2839	94.30	23.12
2005-11	-.3233	.0000	0	2.98	.2041	93.70	23.36
2005-12	-.2902	.0000	0	2.71	.1651	93.60	23.15
2006-01	-.2848	.0000	0	3.86	.1640	94.30	24.05
2006-02	-.3029	.0000	0	4.94	.3312	92.60	24.43
2006-03	-.3118	.0000	0	7.29	.2978	90.80	25.50
2004-09	-.2755	.1740	5	7.47	.1117	90.80	26.75
2004-10	-.3050	.0000	0	3.33	.2338	91.30	23.06
2004-11	-.3268	.0000	0	3.87	.2347	91.80	23.51
2004-12	-.2921	.0000	0	5.56	.1826	92.70	24.78
2016-04	-.0609	.4400	11	51.71	.3319	100.00	58.84
2016-05	-.0531	.4400	13	47.38	.3088	101.00	56.75
2016-06	-.0540	.4401	13	47.36	.2340	99.80	56.42
2016-07	-.0502	.4400	13	43.54	.3048	102.90	54.73
2016-08	-.0312	.4399	30	73.30	.3136	106.80	78.54
2016-09	-.0215	.4399	22	61.79	.2449	105.60	69.05
2016-10	-.0287	.4400	22	43.67	.2044	104.60	57.20
2016-11	-.0291	.4400	34	58.27	.2374	107.20	69.87
2016-12	-.0385	.4399	45	46.56	.2927	108.60	65.23
2017-01	-.0434	.4399	54	31.88	.2086	108.40	57.78
2017-02	-.0354	.4400	33	50.50	.1781	109.20	65.10
2017-03	-.0366	.4400	48	77.80	.2086	112.60	86.78
2017-04	-.0410	.4400	38	42.77	.2299	111.00	61.73
2017-05	-.0401	.4400	38	41.49	.2362	113.40	61.46
2017-06	-.0502	.4399	36	44.33	.1907	112.00	62.47
2017-07	-.0568	.4398	30	40.45	.1792	113.30	58.92
2017-08	-.0622	.4399	37	50.40	.2105	114.60	67.19
2017-09	-.0687	.4400	37	44.23	.2242	114.70	63.27
2017-10	-.0464	.4401	27	32.16	.2303	118.60	54.18
2017-11	-.0238	.4400	36	40.67	.1941	123.90	62.87
2017-12	-.0281	.4383	24	32.41	.2106	121.30	54.27
2018-01	-.0313	.4401	15	40.94	.1581	122.60	57.96
2018-02	-.0294	.6822	13	24.75	.2102	122.30	47.21
